id,title,year,credit,country,state,city,latitude,longitude
2017710864,"North End Hotel, Ocean Grove, New Jersey",1978.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New Jersey,Ocean Grove,40.21206,-74.00653
2017710178,"Schmidt Apartments, Jefferson City, Missouri",1988.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Missouri,Jefferson City,38.5767,-92.17352
2017705623,"Side view, Buffet Flat Antiques, Route 97, Bend, Oregon",1987.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Oregon,Bend,44.05817,-121.31531
2017711324,"Ponte Vedra Lodge, Ponte Vedra Beach, Florida",1990.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Florida,Ponte Vedra Beach,30.23969,-81.38564
2017702256,"Kristine's Restaurant, vertical corner detail, Route 1, Lake Worth, Florida",1990.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Florida,Lake Worth,26.61708,-80.07231
2017703095,"Central Block (Chamber of Commerce) (1901), Water Street, Decorah, Iowa",2003.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Iowa,Decorah,43.30331,-91.78571
2017704849,"Purple People Eater mouth detail, Sir Goony Golf, Chattanooga, Tennessee",1986.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Tennessee,Chattanooga,35.04563,-85.30968
2017702318,"Southern Cupboard Cabins restaurant and cabins, one cabin, Route 1, Ruther Glen, Virginia",1979.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Virginia,Ruther Glen,,
2017709087,"Bennigan's Restaurant, angle 2, Denver, Colorado",2004.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Colorado,Denver,39.73915,-104.9847
2017706300,"Tire Man statue, 2nd Avenue South and 21st Street South, Birmingham, Alabama",1980.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Alabama,Birmingham,33.52066,-86.80249
2017703420,"China House Carry Out, angle 1, South Broadway, Englewood, Colorado",2004.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Colorado,Englewood,39.64777,-104.98776
2017713012,"Coffee cakes, Kutsher's, Thompson, New York",1977.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New York ,Thompson,,
2017705960,"City Hall, East 6th Street, Concordia, Kansas",1993.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Kansas,Concordia,39.57084,-97.66254
2017711097,"Sanderling Inn, Duck, North Carolina",1985.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,North Carolina,Duck,,
